County,2007,2008,2009,2010,2011,2012,2013
Allegany,14,9,9,15,12,14,15
Anne Arundel,71,70,63,56,79,83,78
Baltimore City,287,184,239,172,167,225,246
Baltimore County,131,118,106,115,107,119,144
Calvert,14,9,14,6,12,12,6
Caroline,1,4,2,2,11,4,2
Carroll,14,17,22,15,8,29,24
Cecil,25,10,24,24,28,25,26
Charles,13,16,11,13,11,13,9
Dorchester,4,5,2,6,2,5,5
Frederick,23,15,23,20,30,26,37
Garrett,1,3,3,3,2,0,6
Harford,31,35,33,43,38,39,36
Howard,16,19,16,10,21,24,29
Kent,3,4,2,5,2,0,4
Montgomery,56,46,44,38,44,48,52
Prince George's,53,58,59,43,42,56,59
Queen Anne's,4,5,4,4,5,2,8
Somerset,6,3,4,1,3,3,4
St. Mary's,6,11,9,12,8,12,10
Talbot,5,4,3,3,1,5,7
Washington,16,26,18,20,21,27,28
Wicomico,9,13,12,13,11,21,17
Worcester,12,10,9,10,6,7,6
MARYLAND,815,694,731,649,671,799,858
